grupo,item,valor_base,valor_baixo,valor_alto,unidade,uso_no_modelo,fonte,url,observacao
Armazenamento H2,Tanque comprimido acima do solo,700,500,700,USD/kg H2 de capacidade,CAPEX_tank = 700 * S_H2_cap_kg,ESMAP / World Bank presentation; valores baseados em Abdin et al. 2021,https://www.esmap.org/sites/default/files/2022/Presentations/February_22_2024_v2.1_Hydrogen_and_role_of_storage_and_transportation_related_infrastructure_DRAFT.pdf,Valor ilustrativo para armazenamento comprimido acima do solo em torno de 200 bar.
Armazenamento H2,Armazenamento subterrâneo de H2,50,,50,USD/kg H2 de capacidade,CAPEX_UGS <= 50 * S_H2_cap_kg,ESMAP / World Bank presentation; Papadias and Ahluwalia 2021,https://www.esmap.org/sites/default/files/2022/Presentations/February_22_2024_v2.1_Hydrogen_and_role_of_storage_and_transportation_related_infrastructure_DRAFT.pdf,Aplicável apenas se houver geologia adequada e projeto de grande escala; usar para cenário de cavernas salinas/UGS.
Compressão H2,CAPEX do compressor,4,,,million USD/MW,CAPEX_comp = 4e6 * P_comp_cap_MW,ESMAP / World Bank presentation,https://www.esmap.org/sites/default/files/2022/Presentations/February_22_2024_v2.1_Hydrogen_and_role_of_storage_and_transportation_related_infrastructure_DRAFT.pdf,Valor ilustrativo; depende da razão de compressão e vazão.
Compressão H2,Energia de compressão 20 para 70 bar,0.63,,,kWh/kg H2,E_comp_t = 0.63 * m_H2_comp_t,ESMAP / World Bank presentation,https://www.esmap.org/sites/default/files/2022/Presentations/February_22_2024_v2.1_Hydrogen_and_role_of_storage_and_transportation_related_infrastructure_DRAFT.pdf,Aproximação para compressão adiabática em dois estágios com perdas.
Compressão H2,Energia de compressão 20 para 150 bar,1.1,,,kWh/kg H2,E_comp_t = 1.1 * m_H2_comp_t,ESMAP / World Bank presentation,https://www.esmap.org/sites/default/files/2022/Presentations/February_22_2024_v2.1_Hydrogen_and_role_of_storage_and_transportation_related_infrastructure_DRAFT.pdf,Aproximação para compressão adiabática em dois estágios com perdas.
Água,Consumo de água purificada,10-22,10,22,L/kg H2,water_t = water_factor * m_H2_prod_t,"JRC, Water electrolysis and hydrogen in the European Union",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC139364/JRC139364_01.pdf,"Mínimo estequiométrico é 9 kg de água/kg H2; com purificação/perdas, fabricantes informam 10-22 L/kg H2."
Eletricidade,Preço da eletricidade,price_t,,,EUR/MWh,C_grid = sum_t price_t * P_grid_t * Delta_t / 1000 se P_grid_t estiver em kW,Dataset VSB; dados de preço do Czech Energy Regulation Office,https://arxiv.org/html/2309.03720v3,"Se o arquivo usado não tiver price, usar cenário externo de preço."
Exemplo derivado,Consumo médio de GN da rede de Praga em 2018,436073.06,,,m3/h,V_GN_avg = 3.82e9 / 8760,Cálculo próprio com dado de consumo anual reportado por Svoboda et al.,https://arxiv.org/html/2309.03720v3,Usado apenas para estimativa média de ordem de grandeza.
Exemplo derivado,H2 médio para blending de 10% em volume,48452.56,,,Nm3/h,V_H2 = alpha/(1-alpha) * V_GN com alpha=0.10,Cálculo próprio,,Assume base volumétrica compatível entre GN e H2.
Exemplo derivado,Massa média de H2 para blending de 10%,4355.89,,,kg/h,m_H2 = 0.0899 * V_H2,Cálculo próprio com densidade normal do H2,https://hydrogeneurope.eu/wp-content/uploads/2021/11/Tech-Overview_Hydrogen-Transport-Distribution.pdf,Equivale a cerca de 104.5 t/dia.
Exemplo derivado,Potência média do eletrolisador para 10% de blending,218-240,218,240,MW,"P_EL = m_H2_avg * SEC_EL / 1000, com SEC_EL = 50-55 kWh/kg",Cálculo próprio com SEC do JRC,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC139364/JRC139364_01.pdf,"Estimativa média; o sizing real deve usar pico, perfil temporal, armazenamento e restrição final do tanque."
